District Name,Total Households,Landless households deriving major part of their income from manual casual labour,Landless households deriving major part of their income from manual casual labour %,Households with non-agricultural enterprises registered with government,Households with non-agricultural enterprises registered with government %,Households paying income tax / professional tax,Households paying income tax / professional tax %,Households with Destitutes/living on alms,Households with Destitutes/living on alms %,Households with salaried job in government,Households with salaried job in government %,Households with salaried job in Public,Households with salaried job in Public %,Households with salaried job in Private,Households with salaried job in Private %,Monthly income of highest earning household member is < 5000,Monthly income of highest earning household member is < 5000 %,Monthly income of highest earning household member is 5000 - 10000,Monthly income of highest earning household member is 5000 - 10000 %,Monthly income of highest earning household member is > 10000,Monthly income of highest earning household member is > 10000 %,Household with government job and reporting monthly highest income > 5000,Household with government job and reporting monthly highest income > 5000 %,Households having motorized two/three/four wheelers and fishing boats,Households having motorized two/three/four wheelers and fishing boats %,Households having 2 wheeler,Households having 2 wheeler %,Households having 3 wheeler,Households having 3 wheeler %,Households having 4 wheeler,Households having 4 wheeler %,Households having motorized fishing boat,Households having motorized fishing boat %,Households Own a refrigerator,Households Own a refrigerator %,Households Own a landline phone,Households Own a landline phone %,Households Owns mobile only,Households Owns mobile only %,Households Owns both landline and mobile,Households Owns both landline and mobile %,Household without any phone,Household without any phone %,Households owning mechanized three/four wheeler agricultural equipments,Households owning mechanized three/four wheeler agricultural equipments %,"Households having kisan credit card with the credit limit of Rs.50,000 and above","Households having kisan credit card with the credit limit of Rs.50,000 and above %",Total Households owning un-irrrigated land,Total Households owning un-irrrigated land %,Total Households owning irrrigated land,Total Households owning irrrigated land %,Total Households owning other land,Total Households owning other land %,Households with irrigation equipments,Households with irrigation equipments %,Household who have no land but have irrigation equipment,Household who have no land but have irrigation equipment %,Household which dont own land but have kissan credit card,Household which dont own land but have kissan credit card %,State_Code
Chittoor (23),798870,233240,29.2%,22405,2.8%,57949,7.25%,1260,0.16%,18819,2.36%,5155,0.65%,56503,7.07%,538476,67.4%,176452,22.09%,79932,10.01%,15565,1.95%,227353,28.46%,201863,25.27%,10909,1.37%,10028,1.26,4553,0.57%,78372,9.81%,15984,2%,659088,82.5%,14164,1.77%,109633,13.72%,7237,0.91%,7836,0.98%,228780,28.64%,186526,23.35%,139265,17.43%,120100,15.03%,4730,0.59%,576,0.07%,28
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,29
State Total,8048664,1791959,22.26%,283793,3.53%,736867,9.16%,9650,0.12%,309991,3.85%,89053,1.11%,395428,4.91%,5560356,69.08%,1792649,22.27%,694617,8.63%,269335,3.35%,1911482,23.75%,1611795,20.03%,64929,0.81%,221299,2.75%,13459,0.17%,478826,5.95%,151081,1.88%,6227951,77.38%,342969,4.26%,1326604,16.48%,603204,7.49%,209811,2.61%,3786144,47.04%,2129740,26.46%,1467463,18.23%,795543,9.88%,52845,0.66%,34624,0.43%,29
Belgaum (01),735630,159341,21.66%,32787,4.46%,48078,6.54%,1333,0.18%,34494,4.69%,7027,0.96%,35805,4.87%,556893,75.7%,130653,17.76%,47834,6.5%,30080,4.09%,204611,27.81%,181801,24.71%,2924,0.4%,18722,2.55,1164,0.16%,33566,4.56%,8405,1.14%,582446,79.18%,17645,2.4%,127134,17.28%,45931,6.24%,13230,1.8%,308766,41.97%,234023,31.81%,118117,16.06%,115761,15.74%,4525,0.62%,1672,0.23%,29
Bagalkot (02),240555,21232,8.83%,8154,3.39%,16005,6.65%,217,0.09%,11686,4.86%,1784,0.74%,6876,2.86%,170747,70.98%,48964,20.35%,20844,8.66%,10110,4.2%,57104,23.74%,47762,19.85%,1747,0.73%,7318,3.04,277,0.12%,6092,2.53%,3383,1.41%,184322,76.62%,6458,2.68%,46392,19.29%,27335,11.36%,22810,9.48%,124558,51.78%,81804,34.01%,47110,19.58%,29344,12.2%,1051,0.44%,1088,0.45%,29
Bijapur (03),292629,18964,6.48%,11605,3.97%,27585,9.43%,404,0.14%,18474,6.31%,2027,0.69%,6453,2.21%,204024,69.72%,67209,22.97%,21396,7.31%,15621,5.34%,54513,18.63%,45594,15.58%,1877,0.64%,6835,2.34,207,0.07%,6704,2.29%,3245,1.11%,247068,84.43%,6980,2.39%,35336,12.08%,45487,15.54%,31840,10.88%,181173,61.91%,120884,41.31%,86190,29.45%,51300,17.53%,3756,1.28%,1546,0.53%,29
Bidar (04),240566,51592,21.45%,14743,6.13%,40400,16.79%,792,0.33%,7894,3.28%,8363,3.48%,6011,2.5%,143473,59.64%,62043,25.79%,35050,14.57%,6763,2.81%,32372,13.46%,28110,11.68%,1456,0.61%,2120,0.88,686,0.29%,11105,4.62%,5689,2.36%,188644,78.42%,6346,2.64%,39887,16.58%,11773,4.89%,11008,4.58%,102412,42.57%,64387,26.76%,47942,19.93%,14927,6.2%,2276,0.95%,2348,0.98%,29
Raichur (05),267156,75087,28.11%,10113,3.79%,21841,8.18%,219,0.08%,5778,2.16%,3582,1.34%,3086,1.16%,132648,49.65%,96968,36.3%,37538,14.05%,4990,1.87%,56920,21.31%,48605,18.19%,2611,0.98%,4200,1.57,1504,0.56%,15079,5.64%,5374,2.01%,223602,83.7%,7785,2.91%,30393,11.38%,10702,4.01%,9379,3.51%,111667,41.8%,71439,26.74%,37259,13.95%,18242,6.83%,1770,0.66%,1846,0.69%,29
Koppal (06),222255,34452,15.5%,6349,2.86%,30423,13.69%,192,0.09%,7721,3.47%,1052,0.47%,4305,1.94%,163994,73.79%,45958,20.68%,12303,5.54%,6575,2.96%,44273,19.92%,37951,17.08%,1398,0.63%,4732,2.13,192,0.09%,8696,3.91%,3671,1.65%,174923,78.7%,6512,2.93%,37149,16.71%,15380,6.92%,4206,1.89%,117769,52.99%,75006,33.75%,49329,22.19%,15018,6.76%,810,0.36%,1433,0.64%,29
Gadag (07),134976,31587,23.4%,3282,2.43%,5102,3.78%,60,0.04%,6245,4.63%,432,0.32%,2016,1.49%,94123,69.73%,32037,23.74%,8791,6.51%,5694,4.22%,18747,13.89%,13521,10.02%,818,0.61%,4211,3.12,197,0.15%,2632,1.95%,1105,0.82%,97450,72.2%,3134,2.32%,33287,24.66%,8030,5.95%,3447,2.55%,70592,52.3%,34622,25.65%,11215,8.31%,7908,5.86%,705,0.52%,230,0.17%,29
Dharwad (08),160538,22731,14.16%,3662,2.28%,9528,5.94%,158,0.1%,6714,4.18%,554,0.35%,6272,3.91%,132307,82.41%,20705,12.9%,7523,4.69%,5710,3.56%,26896,16.75%,17496,10.9%,434,0.27%,8893,5.54,73,0.05%,3022,1.88%,2146,1.34%,120524,75.08%,5230,3.26%,32635,20.33%,16497,10.28%,2801,1.74%,89977,56.05%,56856,35.42%,24390,15.19%,8141,5.07%,300,0.19%,336,0.21%,29
Uttara Kannada (09),240456,68049,28.3%,8261,3.44%,17084,7.1%,328,0.14%,15334,6.38%,1385,0.58%,7821,3.25%,172894,71.9%,46271,19.24%,21278,8.85%,14002,5.82%,66312,27.58%,58911,24.5%,1272,0.53%,5814,2.42,315,0.13%,23182,9.64%,14172,5.89%,154259,64.15%,21591,8.98%,50434,20.97%,8242,3.43%,3846,1.6%,75913,31.57%,23458,9.76%,23452,9.75%,23430,9.74%,2821,1.17%,447,0.19%,29
Haveri (10),257562,85798,33.31%,7821,3.04%,12026,4.67%,228,0.09%,9093,3.53%,848,0.33%,3766,1.46%,191657,74.41%,47654,18.5%,18201,7.07%,8240,3.2%,44971,17.46%,37482,14.55%,1320,0.51%,5870,2.28,299,0.12%,7069,2.74%,1175,0.46%,204602,79.44%,2941,1.14%,48844,18.96%,10595,4.11%,4229,1.64%,132313,51.37%,42880,16.65%,27999,10.87%,20222,7.85%,798,0.31%,486,0.19%,29
Bellary (11),290257,54658,18.83%,8079,2.78%,41041,14.14%,261,0.09%,10034,3.46%,2161,0.74%,16187,5.58%,209004,72.01%,58935,20.3%,22318,7.69%,8700,3%,65432,22.54%,56191,19.36%,1850,0.64%,7085,2.44,306,0.11%,17352,5.98%,2899,1%,234026,80.63%,7216,2.49%,46116,15.89%,33159,11.42%,7290,2.51%,116061,39.99%,66528,22.92%,44057,15.18%,21966,7.57%,3311,1.14%,2290,0.79%,29
Chitradurga (12),282921,38276,13.53%,7834,2.77%,15390,5.44%,330,0.12%,11584,4.09%,841,0.3%,3835,1.36%,224157,79.23%,43187,15.26%,15573,5.5%,10008,3.54%,45277,16%,38596,13.64%,1838,0.65%,4708,1.66,135,0.05%,8786,3.11%,2902,1.03%,200955,71.03%,6819,2.41%,72245,25.54%,29681,10.49%,6579,2.33%,166219,58.75%,87645,30.98%,71773,25.37%,24308,8.59%,827,0.29%,842,0.3%,29
Davanagere (13),278261,24965,8.97%,8149,2.93%,31476,11.31%,279,0.1%,11310,4.06%,1387,0.5%,5482,1.97%,211360,75.96%,47247,16.98%,19654,7.06%,9579,3.44%,63005,22.64%,51587,18.54%,1992,0.72%,9223,3.31,203,0.07%,8227,2.96%,3452,1.24%,211245,75.92%,8136,2.92%,55428,19.92%,38561,13.86%,7930,2.85%,144920,52.08%,73510,26.42%,45112,16.21%,23585,8.48%,1020,0.37%,1295,0.47%,29
Shimoga (14),257688,94251,36.58%,6385,2.48%,7665,2.97%,184,0.07%,9186,3.56%,659,0.26%,3828,1.49%,186758,72.47%,46889,18.2%,24041,9.33%,8384,3.25%,68084,26.42%,58077,22.54%,1673,0.65%,7881,3.06,453,0.18%,9024,3.5%,6046,2.35%,193250,74.99%,13949,5.41%,44443,17.25%,10668,4.14%,5299,2.06%,96392,37.41%,47362,18.38%,44516,17.28%,28501,11.06%,2166,0.84%,696,0.27%,29
Udupi (15),200232,57606,28.77%,11475,5.73%,23340,11.66%,373,0.19%,9762,4.88%,7158,3.57%,30352,15.16%,112188,56.03%,60947,30.44%,27096,13.53%,9267,4.63%,59326,29.63%,43540,21.74%,3352,1.67%,12134,6.06,300,0.15%,47586,23.77%,4260,2.13%,160391,80.1%,26862,13.42%,8719,4.35%,2623,1.31%,1469,0.73%,69792,34.86%,31165,15.56%,32207,16.08%,27000,13.48%,4836,2.42%,282,0.14%,29
CHIKMAGALUR (16),206997,36956,17.85%,7684,3.71%,19844,9.59%,94,0.05%,8219,3.97%,1085,0.52%,4317,2.09%,147025,71.03%,41855,20.22%,18076,8.73%,7369,3.56%,55066,26.6%,42741,20.65%,2476,1.2%,9580,4.63,269,0.13%,11340,5.48%,8759,4.23%,145528,70.3%,21677,10.47%,31033,14.99%,31952,15.44%,3526,1.7%,101939,49.25%,60340,29.15%,42516,20.54%,21991,10.62%,1446,0.7%,782,0.38%,29
Tumkur (17),488277,72623,14.87%,12647,2.59%,22556,4.62%,555,0.11%,17896,3.67%,2196,0.45%,10323,2.11%,384351,78.72%,78649,16.11%,25190,5.16%,14543,2.98%,114300,23.41%,100385,20.56%,4208,0.86%,8284,1.7,1423,0.29%,16309,3.34%,14601,2.99%,335478,68.71%,20824,4.26%,117374,24.04%,42347,8.67%,7357,1.51%,283999,58.16%,158077,32.37%,138940,28.46%,62732,12.85%,2291,0.47%,1164,0.24%,29
Bangalore (18),269172,118172,43.9%,11739,4.36%,24477,9.09%,576,0.21%,7196,2.67%,11722,4.35%,104750,38.92%,145563,54.08%,91601,34.03%,31939,11.87%,6308,2.34%,103743,38.54%,88053,32.71%,2951,1.1%,12250,4.55,489,0.18%,48284,17.94%,1466,0.54%,245388,91.16%,6747,2.51%,15571,5.78%,6067,2.25%,4653,1.73%,23907,8.88%,16163,6%,10882,4.04%,8909,3.31%,2692,1%,3514,1.31%,29
Mandya (19),351462,73909,21.03%,11164,3.18%,34834,9.91%,310,0.09%,12088,3.44%,2581,0.73%,10246,2.92%,245407,69.82%,82329,23.42%,23726,6.75%,10107,2.88%,89808,25.55%,82178,23.38%,3254,0.93%,4081,1.16,295,0.08%,12729,3.62%,6218,1.77%,273462,77.81%,13005,3.7%,58777,16.72%,37642,10.71%,2936,0.84%,188978,53.77%,133185,37.89%,85053,24.2%,32233,9.17%,485,0.14%,527,0.15%,29
Hassan (20),348175,27521,7.9%,11949,3.43%,37139,10.67%,290,0.08%,15365,4.41%,2026,0.58%,8256,2.37%,269146,77.3%,58730,16.87%,20271,5.82%,13074,3.76%,93346,26.81%,78894,22.66%,3742,1.07%,10395,2.99,315,0.09%,14285,4.1%,9484,2.72%,276488,79.41%,16127,4.63%,46076,13.23%,51722,14.86%,4616,1.33%,238208,68.42%,142228,40.85%,116315,33.41%,39126,11.24%,599,0.17%,553,0.16%,29
Dakshina Kannada (21),276202,83874,30.37%,13334,4.83%,46350,16.78%,183,0.07%,12640,4.58%,8780,3.18%,28021,10.15%,159173,57.63%,80834,29.27%,36195,13.1%,11233,4.07%,67457,24.42%,42414,15.36%,5100,1.85%,19824,7.18,119,0.04%,60601,21.94%,8515,3.08%,206321,74.7%,47802,17.31%,13564,4.91%,8190,2.97%,8736,3.16%,114592,41.49%,48144,17.43%,52567,19.03%,64873,23.49%,5214,1.89%,873,0.32%,29
Kodagu (22),114715,32163,28.04%,3403,2.97%,9068,7.9%,31,0.03%,5429,4.73%,1167,1.02%,5226,4.56%,75408,65.74%,24717,21.55%,14589,12.72%,4797,4.18%,29630,25.83%,13311,11.6%,1563,1.36%,14704,12.82,52,0.05%,19649,17.13%,4990,4.35%,69400,60.5%,21864,19.06%,18461,16.09%,5767,5.03%,3555,3.1%,37407,32.61%,14175,12.36%,17020,14.84%,8105,7.07%,505,0.44%,630,0.55%,29
Mysore (23),416354,150556,36.16%,17594,4.23%,63149,15.17%,251,0.06%,11150,2.68%,4239,1.02%,11885,2.85%,250273,60.11%,121074,29.08%,45003,10.81%,9916,2.38%,110331,26.5%,100161,24.06%,3206,0.77%,6030,1.45,934,0.22%,17792,4.27%,5292,1.27%,336692,80.87%,7290,1.75%,67080,16.11%,9453,2.27%,9406,2.26%,161584,38.81%,67756,16.27%,53598,12.87%,21927,5.27%,1503,0.36%,2831,0.68%,29
Chamarajanagar (24),203466,77026,37.86%,5308,2.61%,7785,3.83%,209,0.1%,5615,2.76%,618,0.3%,3710,1.82%,154444,75.91%,41009,20.16%,8013,3.94%,4754,2.34%,41544,20.42%,38417,18.88%,1208,0.59%,1700,0.84,219,0.11%,7451,3.66%,1775,0.87%,156412,76.87%,2656,1.31%,42623,20.95%,5633,2.77%,2650,1.3%,79766,39.2%,42681,20.98%,24461,12.02%,13400,6.59%,746,0.37%,778,0.38%,29
Gulbarga(Kalaburagi) (25),314651,103177,32.79%,9943,3.16%,37701,11.98%,380,0.12%,8630,2.74%,4964,1.58%,16522,5.25%,149538,47.53%,97230,30.9%,67874,21.57%,7516,2.39%,42770,13.59%,36132,11.48%,2050,0.65%,3954,1.26,634,0.2%,13648,4.34%,5672,1.8%,263417,83.72%,9119,2.9%,36434,11.58%,9761,3.1%,10353,3.29%,165828,52.7%,45895,14.59%,34137,10.85%,19973,6.35%,2131,0.68%,2840,0.9%,29
Yadgir (26),158580,31317,19.75%,4475,2.82%,13678,8.63%,172,0.11%,3851,2.43%,3038,1.92%,2720,1.72%,85757,54.08%,53088,33.48%,19735,12.44%,3233,2.04%,24197,15.26%,19005,11.98%,1656,1.04%,2870,1.81,666,0.42%,7314,4.61%,1597,1.01%,137793,86.89%,2263,1.43%,16927,10.67%,5534,3.49%,6087,3.84%,83118,52.41%,44911,28.32%,25746,16.24%,8864,5.59%,528,0.33%,892,0.56%,29
Kolar (27),226042,49302,21.81%,7664,3.39%,16817,7.44%,544,0.24%,9280,4.11%,1689,0.75%,7969,3.53%,164552,72.8%,47426,20.98%,14064,6.22%,8125,3.59%,68173,30.16%,60984,26.98%,2030,0.9%,4652,2.06,507,0.22%,11748,5.2%,4789,2.12%,172216,76.19%,9605,4.25%,39432,17.44%,14860,6.57%,3360,1.49%,110323,48.81%,65932,29.17%,53550,23.69%,18938,8.38%,1282,0.57%,682,0.3%,29
Chikkaballapura (28),218901,63713,29.11%,5351,2.44%,6650,3.04%,399,0.18%,6123,2.8%,1124,0.51%,4267,1.95%,167726,76.62%,42019,19.2%,8797,4.02%,5243,2.4%,52142,23.82%,46059,21.04%,1557,0.71%,3800,1.74,726,0.33%,8141,3.72%,2963,1.35%,159496,72.86%,5954,2.72%,50443,23.04%,7582,3.46%,2209,1.01%,106702,48.74%,56687,25.9%,37968,17.34%,20269,9.26%,370,0.17%,353,0.16%,29
Bangalore Rural (29),158426,21379,13.49%,6235,3.94%,24047,15.18%,174,0.11%,5202,3.28%,2502,1.58%,22905,14.46%,108229,68.32%,38717,24.44%,11430,7.21%,4423,2.79%,64033,40.42%,55729,35.18%,2032,1.28%,5853,3.69,419,0.26%,14857,9.38%,2157,1.36%,127488,80.47%,5976,3.77%,22805,14.39%,18937,11.95%,2782,1.76%,74335,46.92%,50115,31.63%,29380,18.54%,14006,8.84%,1465,0.92%,843,0.53%,29
Ramanagara (30),195562,11682,5.97%,6604,3.38%,25788,13.19%,124,0.06%,5998,3.07%,2062,1.05%,12216,6.25%,147537,75.44%,37704,19.28%,10275,5.25%,4971,2.54%,47099,24.08%,42108,21.53%,1334,0.68%,3576,1.83,81,0.04%,6556,3.35%,4879,2.49%,144665,73.97%,4456,2.28%,41562,21.25%,33093,16.92%,2222,1.14%,106934,54.68%,71882,36.76%,34662,17.72%,10544,5.39%,616,0.31%,525,0.27%,29
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,30
State Total,220731,28413,12.87%,19614,8.89%,43381,19.65%,322,0.15%,28672,12.99%,6194,2.81%,94538,42.83%,88335,40.02%,74568,33.78%,57667,26.13%,27911,12.64%,145341,65.85%,100569,45.56%,2200,1%,42181,19.11%,391,0.18%,153130,69.37%,5267,2.39%,160077,72.52%,37263,16.88%,18124,8.21%,1754,0.79%,1038,0.47%,9792,4.44%,8936,4.05%,8347,3.78%,3402,1.54%,1727,0.78%,713,0.32%,30
NorthGoa (01),140451,18762,13.36%,12023,8.56%,28302,20.15%,159,0.11%,21665,15.43%,3331,2.37%,59299,42.22%,55266,39.35%,44929,31.99%,40181,28.61%,21147,15.06%,92265,65.69%,63480,45.2%,1289,0.92%,27209,19.37,287,0.2%,97134,69.16%,2810,2%,103219,73.49%,22416,15.96%,12006,8.55%,1127,0.8%,590,0.42%,6501,4.63%,6026,4.29%,5270,3.75%,1907,1.36%,805,0.57%,370,0.26%,30
SouthGoa (02),80280,9651,12.02%,7591,9.46%,15079,18.78%,163,0.2%,7007,8.73%,2863,3.57%,35239,43.9%,33069,41.19%,29639,36.92%,17486,21.78%,6764,8.43%,53076,66.11%,37089,46.2%,911,1.13%,14972,18.65,104,0.13%,55996,69.75%,2457,3.06%,56858,70.82%,14847,18.49%,6118,7.62%,627,0.78%,448,0.56%,3291,4.1%,2910,3.62%,3077,3.83%,1495,1.86%,922,1.15%,343,0.43%,30
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,31
State Total,10929,1349,12.34%,336,3.07%,2172,19.87%,11,0.1%,4492,41.1%,129,1.18%,286,2.62%,4713,43.12%,1496,13.69%,4720,43.19%,4401,40.27%,4142,37.9%,3657,33.46%,189,1.73%,185,1.69%,111,1.02%,7441,68.08%,699,6.4%,6244,57.13%,3068,28.07%,918,8.4%,77,0.7%,26,0.24%,2785,25.48%,421,3.85%,551,5.04%,963,8.81%,781,7.15%,16,0.15%,31
Lakshadweep (01),10929,1349,12.34%,336,3.07%,2172,19.87%,11,0.1%,4492,41.1%,129,1.18%,286,2.62%,4713,43.12%,1496,13.69%,4720,43.19%,4401,40.27%,4142,37.9%,3657,33.46%,189,1.73%,185,1.69,111,1.02%,7441,68.08%,699,6.4%,6244,57.13%,3068,28.07%,918,8.4%,77,0.7%,26,0.24%,2785,25.48%,421,3.85%,551,5.04%,963,8.81%,781,7.15%,16,0.15%,31
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,32
State Total,6319215,2555549,40.44%,137821,2.18%,413815,6.55%,13735,0.22%,437903,6.93%,69765,1.1%,374504,5.93%,4471062,70.75%,1073989,17%,774163,12.25%,414251,6.56%,1928034,30.51%,1178807,18.65%,146731,2.32%,600338,9.5%,2158,0.03%,2619164,41.45%,229358,3.63%,3853683,60.98%,1783359,28.22%,452815,7.17%,22779,0.36%,39385,0.62%,1360409,21.53%,363826,5.76%,368400,5.83%,273534,4.33%,145378,2.3%,13442,0.21%,32
Kasaragod (01),232943,61966,26.6%,5520,2.37%,13933,5.98%,333,0.14%,11912,5.11%,1946,0.84%,9832,4.22%,166728,71.57%,40907,17.56%,25308,10.86%,11341,4.87%,48539,20.84%,24309,10.44%,5450,2.34%,18693,8.02,87,0.04%,85290,36.61%,6973,2.99%,134276,57.64%,76669,32.91%,15025,6.45%,1914,0.82%,5006,2.15%,98686,42.36%,21398,9.19%,29761,12.78%,33414,14.34%,6512,2.8%,522,0.22%,32
Kannur (02),475109,145140,30.55%,12490,2.63%,33625,7.08%,652,0.14%,33442,7.04%,4621,0.97%,24727,5.2%,328043,69.05%,84567,17.8%,62499,13.15%,31954,6.73%,114420,24.08%,57308,12.06%,13151,2.77%,43860,9.23,101,0.02%,228783,48.15%,18513,3.9%,266333,56.06%,164896,34.71%,25367,5.34%,1567,0.33%,4763,1%,163940,34.51%,26976,5.68%,31870,6.71%,13691,2.88%,4236,0.89%,1129,0.24%,32
Wayanad (03),180860,83189,46%,2718,1.5%,11800,6.52%,248,0.14%,10374,5.74%,1333,0.74%,5293,2.93%,144085,79.67%,21339,11.8%,15436,8.53%,9860,5.45%,35927,19.86%,16793,9.29%,3981,2.2%,15130,8.37,23,0.01%,28662,15.85%,3501,1.94%,122285,67.61%,37194,20.57%,17880,9.89%,953,0.53%,2768,1.53%,64424,35.62%,13231,7.32%,10313,5.7%,4284,2.37%,1291,0.71%,562,0.31%,32
Kozhikode (04),537969,224903,41.81%,12502,2.32%,32875,6.11%,1343,0.25%,38083,7.08%,3491,0.65%,16395,3.05%,392856,73.03%,82889,15.41%,62224,11.57%,36692,6.82%,145607,27.07%,99798,18.55%,8419,1.56%,37225,6.92,165,0.03%,211820,39.37%,23885,4.44%,334256,62.13%,146959,27.32%,32869,6.11%,1948,0.36%,3029,0.56%,147944,27.5%,26638,4.95%,29740,5.53%,4908,0.91%,1944,0.36%,1300,0.24%,32
Malappuram (05),707117,401458,56.77%,8610,1.22%,30908,4.37%,2711,0.38%,29527,4.18%,3777,0.53%,20403,2.89%,534204,75.55%,113313,16.02%,59600,8.43%,27840,3.94%,181525,25.67%,106292,15.03%,19392,2.74%,55663,7.87,178,0.03%,223198,31.56%,17896,2.53%,471602,66.69%,183683,25.98%,33936,4.8%,2032,0.29%,2824,0.4%,101910,14.41%,22189,3.14%,22184,3.14%,30770,4.35%,19550,2.76%,1440,0.2%,32
Palakkad (06),563475,275141,48.83%,10558,1.87%,23877,4.24%,1319,0.23%,31673,5.62%,4883,0.87%,28632,5.08%,419120,74.38%,88146,15.64%,56208,9.98%,29908,5.31%,169547,30.09%,118911,21.1%,13195,2.34%,37334,6.63,107,0.02%,147120,26.11%,10590,1.88%,405289,71.93%,97905,17.38%,49691,8.82%,2841,0.5%,3175,0.56%,89064,15.81%,54530,9.68%,27606,4.9%,14314,2.54%,2939,0.52%,921,0.16%,32
Thrissur (07),591510,234770,39.69%,12319,2.08%,38445,6.5%,1262,0.21%,31556,5.33%,8176,1.38%,50279,8.5%,409571,69.24%,107102,18.11%,74837,12.65%,29538,4.99%,206426,34.9%,135243,22.86%,15160,2.56%,55766,9.43,257,0.04%,264493,44.71%,28787,4.87%,321155,54.29%,198863,33.62%,42705,7.22%,1682,0.28%,3165,0.54%,41505,7.02%,19084,3.23%,27298,4.61%,65921,11.14%,45783,7.74%,1729,0.29%,32
Ernakulam (08),529673,210179,39.68%,15565,2.94%,46623,8.8%,1332,0.25%,37406,7.06%,9235,1.74%,54130,10.22%,340976,64.37%,107014,20.2%,81683,15.42%,35672,6.73%,251824,47.54%,160005,30.21%,14739,2.78%,76828,14.5,252,0.05%,285105,53.83%,15326,2.89%,313962,59.27%,174997,33.04%,25388,4.79%,1798,0.34%,2575,0.49%,89898,16.97%,27270,5.15%,27831,5.25%,22764,4.3%,12398,2.34%,1033,0.2%,32
Idukki (09),258610,91030,35.2%,6341,2.45%,16406,6.34%,331,0.13%,13362,5.17%,3232,1.25%,22130,8.56%,189453,73.26%,44131,17.06%,25026,9.68%,12446,4.81%,57389,22.19%,25701,9.94%,7931,3.07%,23711,9.17,46,0.02%,63007,24.36%,4355,1.68%,189184,73.15%,52424,20.27%,12647,4.89%,1508,0.58%,2243,0.87%,78001,30.16%,25218,9.75%,22789,8.81%,18464,7.14%,6529,2.52%,680,0.26%,32
Kottayam (10),418899,138494,33.06%,12206,2.91%,37081,8.85%,632,0.15%,32706,7.81%,6583,1.57%,36532,8.72%,270028,64.46%,79211,18.91%,69660,16.63%,31020,7.41%,157868,37.69%,74057,17.68%,14471,3.45%,69211,16.52,129,0.03%,230392,55%,16130,3.85%,227250,54.25%,157314,37.55%,18205,4.35%,1329,0.32%,2365,0.56%,102821,24.55%,21708,5.18%,28618,6.83%,8686,2.07%,4381,1.05%,838,0.2%,32
Alappuzha (11),454793,196809,43.27%,8961,1.97%,33516,7.37%,827,0.18%,44093,9.7%,5260,1.16%,32724,7.2%,315662,69.41%,75677,16.64%,63454,13.95%,41478,9.12%,152620,33.56%,109289,24.03%,7696,1.69%,35412,7.79,223,0.05%,206525,45.41%,24919,5.48%,266407,58.58%,128130,28.17%,35337,7.77%,1284,0.28%,1657,0.36%,40313,8.86%,17366,3.82%,16247,3.57%,25677,5.65%,21926,4.82%,807,0.18%,32
