District Name,TotalHouseholds,Total Householdsconsidered fordeprivation,No. of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,No. of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,No. of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,No. of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,No. of Deprived Households with deprivation criteriaSC/SThouseholds,No. of Deprived Households with deprivation criteriaNo literate adultabove 25 years,No. of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,% of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,% of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,% of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,% of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,% of Deprived Households with deprivation criteriaSC/SThouseholds,% of Deprived Households with deprivation criteriaNo literate adultabove 25 years,% of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,No. of Deprived Households withExactly 1,No. of Deprived Households withExactly 2,No. of Deprived Households withExactly 3,No. of Deprived Households withExactly 4,No. of Deprived Households withExactly 5,No. of Deprived Households withExactly 6,No. of Deprived Households withExactly 7,% of Deprived Households withExactly 1,% of Deprived Households withExactly 2,% of Deprived Households withExactly 3,% of Deprived Households withExactly 4,% of Deprived Households withExactly 5,% of Deprived Households withExactly 6,% of Deprived Households withExactly 7,Total Households- No deprivation HHs,Total Households- No deprivation %,State_Code
State Total,5044234,3425378,744163,131851,157959,16859,1577056,1432461,911247,14.75%,2.61%,3.13%,0.33%,31.26%,28.4%,18.07%,1177511,941881,422750,122137,25335,4279,168,23.34%,18.67%,8.38%,2.42%,0.5%,0.08%,0%,731317,14.5%,20
Garhwa (01),229414,171978,44389,11666,6861,1212,68366,80972,36069,19.35%,5.09%,2.99%,0.53%,29.8%,35.3%,15.72%,58886,44421,21461,7105,1480,244,20,25.67%,19.36%,9.35%,3.1%,0.65%,0.11%,0.01%,38361,16.72%,20
Chatra (02),175409,130547,32233,5322,5568,693,57148,65492,39038,18.38%,3.03%,3.17%,0.4%,32.58%,37.34%,22.26%,36786,31656,21372,8221,1308,293,14,20.97%,18.05%,12.18%,4.69%,0.75%,0.17%,0.01%,30897,17.61%,20
Kodarma (03),96609,61549,10747,2043,2765,278,11730,24490,16011,11.12%,2.11%,2.86%,0.29%,12.14%,25.35%,16.57%,21254,11070,5169,1806,330,47,1,22%,11.46%,5.35%,1.87%,0.34%,0.05%,0%,21872,22.64%,20
Giridih (04),383640,262045,48143,7364,7981,935,77213,103888,49901,12.55%,1.92%,2.08%,0.24%,20.13%,27.08%,13.01%,88894,55299,21746,6110,1044,169,3,23.17%,14.41%,5.67%,1.59%,0.27%,0.04%,0%,88780,23.14%,20
Deoghar (05),216632,163786,30536,4637,3983,494,52814,68538,26509,14.1%,2.14%,1.84%,0.23%,24.38%,31.64%,12.24%,58275,36001,13782,3184,536,74,4,26.9%,16.62%,6.36%,1.47%,0.25%,0.03%,0%,51930,23.97%,20
Godda (06),243676,176345,46683,6111,7231,769,60538,86395,69374,19.16%,2.51%,2.97%,0.32%,24.84%,35.45%,28.47%,55308,52894,26850,6930,1277,218,6,22.7%,21.71%,11.02%,2.84%,0.52%,0.09%,0%,32862,13.49%,20
Sahibganj (07),205762,165486,50374,5736,7598,2110,63214,98937,85204,24.48%,2.79%,3.69%,1.03%,30.72%,48.08%,41.41%,44404,60819,34633,8524,1581,204,1,21.58%,29.56%,16.83%,4.14%,0.77%,0.1%,0%,15320,7.45%,20
Pakur (08),173746,143003,48749,4257,7989,330,69288,88681,59152,28.06%,2.45%,4.6%,0.19%,39.88%,51.04%,34.05%,37149,53170,32542,7468,1277,179,0,21.38%,30.6%,18.73%,4.3%,0.73%,0.1%,0%,11218,6.46%,20
Dhanbad (09),260908,157915,27958,3705,5980,316,54629,51394,53916,10.72%,1.42%,2.29%,0.12%,20.94%,19.7%,20.66%,54522,36700,16310,4223,716,91,4,20.9%,14.07%,6.25%,1.62%,0.27%,0.03%,0%,45349,17.38%,20
Bokaro (10),276821,172078,37469,5659,6810,632,66569,65967,43612,13.54%,2.04%,2.46%,0.23%,24.05%,23.83%,15.75%,58361,42987,18664,5177,975,130,4,21.08%,15.53%,6.74%,1.87%,0.35%,0.05%,0%,45780,16.54%,20
Lohardaga (11),79897,57921,6517,2733,3328,274,38752,25440,7741,8.16%,3.42%,4.17%,0.34%,48.5%,31.84%,9.69%,24396,18409,4954,1469,462,86,1,30.53%,23.04%,6.2%,1.84%,0.58%,0.11%,0%,8144,10.19%,20
Purbi Singhbhum (12),273216,157088,36365,6270,11249,547,89240,58643,61195,13.31%,2.29%,4.12%,0.2%,32.66%,21.46%,22.4%,53075,47177,23402,8134,2180,397,8,19.43%,17.27%,8.57%,2.98%,0.8%,0.15%,0%,22715,8.31%,20
Palamu (13),325420,237560,69811,11248,7100,1689,96572,107596,70462,21.45%,3.46%,2.18%,0.52%,29.68%,33.06%,21.65%,73215,61480,34664,12992,2006,354,27,22.5%,18.89%,10.65%,3.99%,0.62%,0.11%,0.01%,52822,16.23%,20
Latehar (14),128904,102432,20731,4029,3592,237,74915,49710,14838,16.08%,3.13%,2.79%,0.18%,58.12%,38.56%,11.51%,36050,35149,13936,3801,771,136,3,27.97%,27.27%,10.81%,2.95%,0.6%,0.11%,0%,12586,9.76%,20
Hazaribagh (15),278302,166427,28716,7274,7440,508,56802,66265,33167,10.32%,2.61%,2.67%,0.18%,20.41%,23.81%,11.92%,54617,34968,16208,5111,1057,197,12,19.63%,12.56%,5.82%,1.84%,0.38%,0.07%,0%,54257,19.5%,20
Ramgarh (16),155863,82387,10537,3001,4400,558,34565,32245,22723,6.76%,1.93%,2.82%,0.36%,22.18%,20.69%,14.58%,28122,20776,8726,2213,552,86,7,18.04%,13.33%,5.6%,1.42%,0.35%,0.06%,0%,21905,14.05%,20
Dumka (17),262618,209917,58814,7936,10846,823,114860,85915,39012,22.4%,3.02%,4.13%,0.31%,43.74%,32.71%,14.86%,73882,61491,27271,7334,1730,249,7,28.13%,23.41%,10.38%,2.79%,0.66%,0.09%,0%,37953,14.45%,20
Jamtara (18),139849,110563,28267,3550,3999,471,50455,45545,19763,20.21%,2.54%,2.86%,0.34%,36.08%,32.57%,14.13%,39079,29301,12445,3342,622,88,4,27.94%,20.95%,8.9%,2.39%,0.44%,0.06%,0%,25682,18.36%,20
Ranchi (19),346242,197620,25918,8835,11360,1453,99878,68772,38753,7.49%,2.55%,3.28%,0.42%,28.85%,19.86%,11.19%,74789,51889,16297,4694,1417,268,6,21.6%,14.99%,4.71%,1.36%,0.41%,0.08%,0%,48260,13.94%,20
Khunti (20),95140,77401,15679,3584,5658,434,63697,28120,7239,16.48%,3.77%,5.95%,0.46%,66.95%,29.56%,7.61%,33621,24832,9182,2374,693,95,7,35.34%,26.1%,9.65%,2.5%,0.73%,0.1%,0.01%,6597,6.93%,20
Gumla (21),172479,108246,19184,4871,6256,554,72683,39429,10217,11.12%,2.82%,3.63%,0.32%,42.14%,22.86%,5.92%,44900,31120,9731,2829,896,160,15,26.03%,18.04%,5.64%,1.64%,0.52%,0.09%,0.01%,18595,10.78%,20
Simdega (22),108003,81225,9022,3702,4952,309,66947,27490,8950,8.35%,3.43%,4.59%,0.29%,61.99%,25.45%,8.29%,41176,23217,7382,1954,604,123,6,38.12%,21.5%,6.83%,1.81%,0.56%,0.11%,0.01%,6763,6.26%,20
Pashchimi Singhbhum (23),247857,138913,16198,4360,9140,324,97889,34217,68348,6.54%,1.76%,3.69%,0.13%,39.49%,13.81%,27.58%,51319,53002,16690,4162,995,241,2,20.71%,21.38%,6.73%,1.68%,0.4%,0.1%,0%,12502,5.04%,20
Saraikela-Kharsawan (24),167827,92946,21123,3958,5873,909,38292,28320,30053,12.59%,2.36%,3.5%,0.54%,22.82%,16.87%,17.91%,35431,24053,9333,2980,826,150,6,21.11%,14.33%,5.56%,1.78%,0.49%,0.09%,0%,20167,12.02%,20
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,21
East Zone Total,47307665,35604289,9961967,1545980,1703849,228050,12349047,13982517,19436486,21.06%,3.27%,3.6%,0.48%,26.1%,29.56%,41.09%,10710568,10297517,5994735,1926292,356402,67762,3477,22.64%,21.77%,12.67%,4.07%,0.75%,0.14%,0.01%,6247536,13.21%,21
State Total,8677615,6929443,2364169,425161,458505,51314,3206141,2412221,3131932,27.24%,4.9%,5.28%,0.59%,36.95%,27.8%,36.09%,1969249,1965772,1201966,452909,113093,26030,1353,22.69%,22.65%,13.85%,5.22%,1.3%,0.3%,0.02%,1199071,13.82%,21
Bargarh (01),363860,305631,152587,27563,23194,2942,139835,93848,135564,41.94%,7.58%,6.37%,0.81%,38.43%,25.79%,37.26%,78465,82330,58578,26150,7743,2069,135,21.56%,22.63%,16.1%,7.19%,2.13%,0.57%,0.04%,50161,13.79%,21
Jharsuguda (02),87340,66124,22650,5109,4997,629,44890,18551,26589,25.93%,5.85%,5.72%,0.72%,51.4%,21.24%,30.44%,19399,19672,11834,4814,1534,353,18,22.21%,22.52%,13.55%,5.51%,1.76%,0.4%,0.02%,8500,9.73%,21
Sambalpur (03),186899,152264,45190,11768,12487,1374,103723,48979,75126,24.18%,6.3%,6.68%,0.74%,55.5%,26.21%,40.2%,40908,45747,30164,12353,3993,1009,46,21.89%,24.48%,16.14%,6.61%,2.14%,0.54%,0.02%,18044,9.65%,21
Debagarh (04),74644,62914,19315,4090,4001,430,34945,20620,26394,25.88%,5.48%,5.36%,0.58%,46.82%,27.62%,35.36%,17363,16704,11115,4581,1127,275,10,23.26%,22.38%,14.89%,6.14%,1.51%,0.37%,0.01%,11739,15.73%,21
Sundargarh (05),348141,286136,88226,16444,20529,2225,224279,108137,87265,25.34%,4.72%,5.9%,0.64%,64.42%,31.06%,25.07%,92848,93272,51700,19206,5555,1261,64,26.67%,26.79%,14.85%,5.52%,1.6%,0.36%,0.02%,22230,6.39%,21
Kendujhar (06),371247,302953,112532,13941,18226,1613,189186,113160,87898,30.31%,3.76%,4.91%,0.43%,50.96%,30.48%,23.68%,87313,84817,55506,21542,4328,835,39,23.52%,22.85%,14.95%,5.8%,1.17%,0.22%,0.01%,48573,13.08%,21
Mayurbhanj (07),571185,497580,233535,28572,43585,3328,349303,223270,177632,40.89%,5%,7.63%,0.58%,61.15%,39.09%,31.1%,120319,144140,113083,54933,14051,3355,180,21.06%,25.24%,19.8%,9.62%,2.46%,0.59%,0.03%,47519,8.32%,21
